criterion,query,min_group_rate,max_group_rate,query_disparity,MutualInformation,ProxyMutualInformationTVD,ProxyRepairMaxSat,TupleContribution
"race, decile_score | c_charge_degree","SELECT c_charge_degree, AVG(med_decile_score) AS med_decile_score FROM (SELECT race, c_charge_degree, PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY decile_score) AS med_decile_score FROM Compas GROUP BY race, c_charge_degree) t GROUP BY c_charge_degree;",1.0,6.0,1.1454823889739663,0.09040000000000001,0.03921,2659.5184562646245,0.2882899670270968
"c_charge_degree, decile_score | race","SELECT race, AVG(med_decile_score) AS med_decile_score FROM (SELECT c_charge_degree, race, PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY decile_score) AS med_decile_score FROM Compas GROUP BY c_charge_degree, race) t GROUP BY race;",1.0,6.0,0.9184958312063978,0.03445,0.014410000000000003,1879.7772789334053,0.1523885947117259
"race, decile_score | age_cat","SELECT age_cat, AVG(avg_decile_score) AS avg_decile_score FROM (SELECT race, age_cat, AVG(decile_score) AS avg_decile_score FROM Compas GROUP BY race, age_cat) t GROUP BY age_cat;",1.475609756097561,6.2187715665976535,0.7718679245770373,0.08534,0.035269999999999996,2525.6146310715903,0.2097539630689071
"age_cat, decile_score | race","SELECT race, AVG(avg_decile_score) AS avg_decile_score FROM (SELECT age_cat, race, AVG(decile_score) AS avg_decile_score FROM Compas GROUP BY age_cat, race) t GROUP BY race;",1.475609756097561,6.2187715665976535,0.6319670020206277,0.15932000000000002,0.04928,2684.687547001557,0.2970561666910196
