criterion,MutualInformation,ProxyMutualInformationTVD,ProxyRepairMaxSat,TupleContribution
"SEX, INCTOT",0.03336000000000001,0.016220000000000005,15499.839255921877,0.1801726909023605
"RACE, INCTOT",0.01062,0.0022099999999999997,7219.322929340653,0.06454989692201898
"SEX, INCTOT | EDUC",0.05846,0.025420000000000005,20422.7418179541,0.21883707948860504
"RACE, INCTOT | EDUC",0.0211,0.00276,10192.015298384908,0.06081545515650618
