measure,kendall_tau,p_value
MutualInformation,0.6666666666666669,0.3333333333333333
ProxyMutualInformationTVD,0.6666666666666669,0.3333333333333333
ProxyRepairMaxSat,0.6666666666666669,0.3333333333333333
TupleContribution,1.0,0.08333333333333333
