query,EDUC,SEX,RACE,avg_inctot
avg INCTOT (overall),ALL,ALL,ALL,30442.0
"avg INCTOT | (EDUC, RACE)",111,,801,45000.0
"avg INCTOT | (EDUC, RACE)",111,,802,42000.0
"avg INCTOT | (EDUC, RACE)",111,,803,46000.0
"avg INCTOT | (EDUC, RACE)",111,,804,55000.0
"avg INCTOT | (EDUC, RACE)",111,,806,110000.0
"avg INCTOT | (EDUC, RACE)",111,,809,50000.0
"avg INCTOT | (EDUC, RACE)",111,,810,40000.0
"avg INCTOT | (EDUC, RACE)",123,,100,59239.47543498125
"avg INCTOT | (EDUC, RACE)",123,,200,51145.23809523809
"avg INCTOT | (EDUC, RACE)",123,,300,32000.0
"avg INCTOT | (EDUC, RACE)",123,,651,62518.253968253965
"avg INCTOT | (EDUC, RACE)",123,,652,25000.0
"avg INCTOT | (EDUC, RACE)",123,,801,105000.0
"avg INCTOT | (EDUC, RACE)",123,,802,42500.0
"avg INCTOT | (EDUC, RACE)",123,,803,90000.0
"avg INCTOT | (EDUC, RACE)",124,,100,78361.63551790486
"avg INCTOT | (EDUC, RACE)",124,,200,66250.0
"avg INCTOT | (EDUC, RACE)",124,,300,50000.0
"avg INCTOT | (EDUC, RACE)",124,,651,53541.66666666667
"avg INCTOT | (EDUC, RACE)",124,,801,50000.0
"avg INCTOT | (EDUC, RACE)",124,,803,120000.0
"avg INCTOT | (EDUC, RACE)",124,,810,180000.0
"avg INCTOT | (EDUC, RACE)",125,,100,72652.16025804261
"avg INCTOT | (EDUC, RACE)",125,,200,42857.142857142855
"avg INCTOT | (EDUC, RACE)",125,,300,70000.0
"avg INCTOT | (EDUC, RACE)",125,,651,67583.33333333334
"avg INCTOT | (EDUC, SEX)",2,1,,15000.0
"avg INCTOT | (EDUC, SEX)",2,2,,3214.285714285714
"avg INCTOT | (EDUC, SEX)",10,1,,16851.85185185185
"avg INCTOT | (EDUC, SEX)",10,2,,6933.333333333334
"avg INCTOT | (EDUC, SEX)",20,1,,15321.42857142857
"avg INCTOT | (EDUC, SEX)",20,2,,5348.124098124098
"avg INCTOT | (EDUC, SEX)",30,1,,10086.111111111111
"avg INCTOT | (EDUC, SEX)",30,2,,4842.717086834734
"avg INCTOT | (EDUC, SEX)",40,1,,8494.69629957246
"avg INCTOT | (EDUC, SEX)",40,2,,3262.042124542125
"avg INCTOT | (EDUC, SEX)",50,1,,11379.496478180688
"avg INCTOT | (EDUC, SEX)",50,2,,5441.208705295392
"avg INCTOT | (EDUC, SEX)",60,1,,10746.809425524596
"avg INCTOT | (EDUC, SEX)",60,2,,5117.490026313555
"avg INCTOT | (EDUC, SEX)",71,1,,17987.803862803863
"avg INCTOT | (EDUC, SEX)",71,2,,5016.559829059829
"avg INCTOT | (EDUC, SEX)",73,1,,29786.141229547833
"avg INCTOT | (EDUC, SEX)",73,2,,16423.231522313195
"avg INCTOT | (EDUC, SEX)",81,1,,35159.179702959365
"avg INCTOT | (EDUC, SEX)",81,2,,18708.49660506366
"avg INCTOT | (EDUC, SEX)",91,1,,43125.54079268274
"avg INCTOT | (EDUC, SEX)",91,2,,22745.546919690143
"avg INCTOT | (EDUC, SEX)",92,1,,44189.08456884838
"avg INCTOT | (EDUC, SEX)",92,2,,24573.3516500022
"avg INCTOT | (EDUC, SEX)",111,1,,60988.44741400915
"avg INCTOT | (EDUC, SEX)",111,2,,37160.93547566038
"avg INCTOT | (EDUC, SEX)",123,1,,71510.25628946637
"avg INCTOT | (EDUC, SEX)",123,2,,48983.15886380219
"avg INCTOT | (EDUC, SEX)",124,1,,91225.75757575758
"avg INCTOT | (EDUC, SEX)",124,2,,61858.008658008664
"avg INCTOT | (EDUC, SEX)",125,1,,72279.70085470084
"avg INCTOT | (EDUC, SEX)",125,2,,65880.95238095238
avg INCTOT | EDUC,2,,,10092.592592592591
avg INCTOT | EDUC,10,,,11808.333333333334
avg INCTOT | EDUC,20,,,9134.920634920634
avg INCTOT | EDUC,30,,,7725.364365166996
